PROCESSO,ÁREA DO CONHECIMENTO,UNIDADE,EMPRESA/PARCEIRO,FUNDAÇÃO,11/2025,12/2025,1/2026,2/2026,3/2026,4/2026,5/2026,6/2026,7/2026,8/2026,9/2026,10/2026,11/2026,12/2026,1/2027,2/2027,3/2027,4/2027,5/2027,6/2027,7/2027,8/2027,9/2027,10/2027,11/2027,12/2027,1/2028,2/2028,3/2028,4/2028,5/2028,6/2028,7/2028,8/2028,9/2028,10/2028,11/2028,12/2028,1/2029,2/2029,3/2029,4/2029,5/2029,6/2029,7/2029,8/2029,9/2029,10/2029,11/2029,12/2029
23067.023414/2024-13,ENGENHARIA DE MATERIAIS,DEPARTAMENTO DE ENGENHARIA METALÚRGICA E DE MATERIAIS (DEMM),ARCELLORMITAL DO BRASIL,FASTEF,,"R$ 5.521,74",,,"R$ 1.656,52",,,,,,,,,,,,"R$ 3.865,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23067.040286/2025-53,ENGENHARIA METALÚRGICA,DEPARTAMENTO DE ENGENHARIA METALÚRGICA E DE MATERIAIS (DEMM),PETROBRAS,FASTEF,,"R$ 188.943,03",,,,,,,,,,,,"R$ 160.705,51",,,,,,,,,,,"R$ 157.308,89",,,,,,,,,,,,,,,,,,,,,,,,,
23067.047314/2025-63,TECNOLOGIA DA INFORMAÇÃO,INSTITUTO DE EDUCAÇÃO FÍSICA E ESPORTES (IEFES),AVATTUS,FASTEF,"R$ 103.915,55",,"R$ 60.894,52",,,,,,,"R$ 84.379,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23067.052987/2025-35,QUÍMICA,DEPARTAMENTO DE ENGENHARIA QUÍMICA (DEQ),PETROBRAS,FASTEF,"R$ 126.096,77",,,,,,,,,,,"R$ 89.511,09",,,,,,,,,,,,"R$ 89.510,21",,,,,,,,,,,,,,,,,,,,,,,,,,
23067.054684/2025-57,TECNOLOGIA DA INFORMAÇÃO,CAMPUS DA UFC DE CRATEÚS (CCRATEUS),ACADEMIA DE IDÉIAS,FASTEF,,"R$ 942,19",,,"R$ 588,87",,,"R$ 208,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23067.054951/2025-96,CIÊNCIA DA COMPUTAÇÃO,DEPARTAMENTO DE COMPUTAÇÃO (DC_CC),DELL COMPUTADORES,FCPC,,"R$ 23.663,80","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51","R$ 4.229,51",,,,,,,,,,,,,,,,,,,,,,,,
23067.055353/2025-34,ENGENHARIA DA COMPUTAÇÃO,CAMPUS DE ITAPAJÉ (CITAPAJE),RX ENGENHARIA E TECNOLOGIA,FASTEF,"R$ 844,67",,,,"R$ 739,08",,,"R$ 663,67",,,"R$ 331,83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23067.056121/2025-01,CIÊNCIA DA COMPUTAÇÃO,DEPARTAMENTO DE COMPUTAÇÃO (DC_CC),DELL COMPUTADORES,FCPC,,"R$ 23.870,91","R$ 36.271,55","R$ 36.271,55","R$ 36.271,55","R$ 36.271,55","R$ 36.271,55","R$ 36.271,55","R$ 36.271,55","R$ 36.271,55","R$ 36.271,55","R$ 36.271,55","R$ 36.271,55","R$ 36.271,55","R$ 38.699,63","R$ 38.699,63","R$ 38.699,63","R$ 38.699,63","R$ 38.699,63","R$ 38.699,63","R$ 38.699,63","R$ 38.699,63","R$ 38.699,63","R$ 38.699,63","R$ 38.699,63","R$ 38.699,63","R$ 34.470,47","R$ 34.470,47","R$ 34.470,46",,,,,,,,,,,,,,,,,,,,,
23067.057636/2025-11,CIÊNCIA DA COMPUTAÇÃO,DEPARTAMENTO DE FÍSICA (DF),LIGHTERA LATAM S.A.,FCPC,"R$ 6.205,65","R$ 6.205,65","R$ 6.205,65","R$ 6.205,65","R$ 6.022,43","R$ 6.022,43","R$ 6.022,43","R$ 6.022,43","R$ 6.022,43","R$ 6.022,43","R$ 6.022,43","R$ 6.022,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23067.060802/2025-66,CIÊNCIA DA COMPUTAÇÃO,DEPARTAMENTO DE COMPUTAÇÃO (DC_CC),AKIYAMA ELETRONICOS,FASTEF,,"R$ 12.593,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23067.061059/2025-61,ENGENHARIA DE MATERIAIS,DEPARTAMENTO DE ENGENHARIA METALÚRGICA E DE MATERIAIS (DEMM),DIAMANTE ENERGIA,FASTEF,,"R$ 142.563,82",,,,,,,,,,,"R$ 47.521,27",,,,,,,,,,,,"R$ 47.521,27",,,,,,,,,,,,,,,,,,,,,,,,,
23067.061737/2025-96,CIÊNCIA DA COMPUTAÇÃO,DEPARTAMENTO DE COMPUTAÇÃO (DC_CC),DELL COMPUTADORES,FASTEF,,"R$ 1.531,24","R$ 3.342,73","R$ 2.883,00","R$ 2.883,01","R$ 2.954,16","R$ 2.927,44","R$ 2.927,44","R$ 2.928,16","R$ 3.009,30","R$ 2.936,60","R$ 2.936,60","R$ 2.936,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
